date_key,date_value,year,quarter,month,month_name,week_of_year,day_of_month,weekday_name,is_weekend,day_of_year
20240101,2024-01-01,2024,1,1,January,1,1,Monday,0,1
20240102,2024-01-02,2024,1,1,January,1,2,Tuesday,0,2
20240103,2024-01-03,2024,1,1,January,1,3,Wednesday,0,3
20240104,2024-01-04,2024,1,1,January,1,4,Thursday,0,4
20240105,2024-01-05,2024,1,1,January,1,5,Friday,0,5
20240106,2024-01-06,2024,1,1,January,1,6,Saturday,1,6
20240107,2024-01-07,2024,1,1,January,1,7,Sunday,1,7
20240108,2024-01-08,2024,1,1,January,2,8,Monday,0,8
20240109,2024-01-09,2024,1,1,January,2,9,Tuesday,0,9
20240110,2024-01-10,2024,1,1,January,2,10,Wednesday,0,10
20240111,2024-01-11,2024,1,1,January,2,11,Thursday,0,11
20240112,2024-01-12,2024,1,1,January,2,12,Friday,0,12
20240113,2024-01-13,2024,1,1,January,2,13,Saturday,1,13
20240114,2024-01-14,2024,1,1,January,2,14,Sunday,1,14
20240115,2024-01-15,2024,1,1,January,3,15,Monday,0,15
20240116,2024-01-16,2024,1,1,January,3,16,Tuesday,0,16
20240117,2024-01-17,2024,1,1,January,3,17,Wednesday,0,17
20240118,2024-01-18,2024,1,1,January,3,18,Thursday,0,18
20240119,2024-01-19,2024,1,1,January,3,19,Friday,0,19
20240120,2024-01-20,2024,1,1,January,3,20,Saturday,1,20
20240121,2024-01-21,2024,1,1,January,3,21,Sunday,1,21
20240122,2024-01-22,2024,1,1,January,4,22,Monday,0,22
20240123,2024-01-23,2024,1,1,January,4,23,Tuesday,0,23
20240124,2024-01-24,2024,1,1,January,4,24,Wednesday,0,24
20240125,2024-01-25,2024,1,1,January,4,25,Thursday,0,25
20240126,2024-01-26,2024,1,1,January,4,26,Friday,0,26
20240127,2024-01-27,2024,1,1,January,4,27,Saturday,1,27
20240128,2024-01-28,2024,1,1,January,4,28,Sunday,1,28
20240129,2024-01-29,2024,1,1,January,5,29,Monday,0,29
20240130,2024-01-30,2024,1,1,January,5,30,Tuesday,0,30
20240131,2024-01-31,2024,1,1,January,5,31,Wednesday,0,31
20240201,2024-02-01,2024,1,2,February,5,1,Thursday,0,32
20240202,2024-02-02,2024,1,2,February,5,2,Friday,0,33
20240203,2024-02-03,2024,1,2,February,5,3,Saturday,1,34
20240204,2024-02-04,2024,1,2,February,5,4,Sunday,1,35
20240205,2024-02-05,2024,1,2,February,6,5,Monday,0,36
20240206,2024-02-06,2024,1,2,February,6,6,Tuesday,0,37
20240207,2024-02-07,2024,1,2,February,6,7,Wednesday,0,38
20240208,2024-02-08,2024,1,2,February,6,8,Thursday,0,39
20240209,2024-02-09,2024,1,2,February,6,9,Friday,0,40
20240210,2024-02-10,2024,1,2,February,6,10,Saturday,1,41
20240211,2024-02-11,2024,1,2,February,6,11,Sunday,1,42
20240212,2024-02-12,2024,1,2,February,7,12,Monday,0,43
20240213,2024-02-13,2024,1,2,February,7,13,Tuesday,0,44
20240214,2024-02-14,2024,1,2,February,7,14,Wednesday,0,45
20240215,2024-02-15,2024,1,2,February,7,15,Thursday,0,46
20240216,2024-02-16,2024,1,2,February,7,16,Friday,0,47
20240217,2024-02-17,2024,1,2,February,7,17,Saturday,1,48
20240218,2024-02-18,2024,1,2,February,7,18,Sunday,1,49
20240219,2024-02-19,2024,1,2,February,8,19,Monday,0,50
20240220,2024-02-20,2024,1,2,February,8,20,Tuesday,0,51
20240221,2024-02-21,2024,1,2,February,8,21,Wednesday,0,52
20240222,2024-02-22,2024,1,2,February,8,22,Thursday,0,53
20240223,2024-02-23,2024,1,2,February,8,23,Friday,0,54
20240224,2024-02-24,2024,1,2,February,8,24,Saturday,1,55
20240225,2024-02-25,2024,1,2,February,8,25,Sunday,1,56
20240226,2024-02-26,2024,1,2,February,9,26,Monday,0,57
20240227,2024-02-27,2024,1,2,February,9,27,Tuesday,0,58
20240228,2024-02-28,2024,1,2,February,9,28,Wednesday,0,59
20240229,2024-02-29,2024,1,2,February,9,29,Thursday,0,60
20240301,2024-03-01,2024,1,3,March,9,1,Friday,0,61
20240302,2024-03-02,2024,1,3,March,9,2,Saturday,1,62
20240303,2024-03-03,2024,1,3,March,9,3,Sunday,1,63
20240304,2024-03-04,2024,1,3,March,10,4,Monday,0,64
20240305,2024-03-05,2024,1,3,March,10,5,Tuesday,0,65
20240306,2024-03-06,2024,1,3,March,10,6,Wednesday,0,66
