listen_id,date_key,user_id,track_id,device_id,geo_id,listen_seconds,is_skipped,is_completed,session_id,is_first_time_user_track
1,20241226,2189,574,5,55,59,0,0,486555,0
2,20240116,878,476,14,52,205,0,0,77816,1
3,20250310,1868,514,6,43,10,1,0,268259,0
4,20251005,1021,226,10,12,200,0,0,392837,1
5,20240126,1395,454,19,57,25,1,0,431490,1
6,20251204,1864,431,20,59,211,0,0,84494,1
7,20240222,162,218,8,38,150,0,0,48473,1
8,20250415,1128,82,16,44,264,0,1,400271,0
9,20241229,248,403,13,21,20,1,0,344498,1
10,20250121,1843,502,16,44,71,0,0,244701,1
11,20250923,1563,225,11,13,77,0,0,261519,0
12,20250318,778,574,15,28,18,1,0,320971,0
13,20241228,201,574,11,37,167,0,0,156108,0
14,20250710,2318,497,15,4,167,0,0,88856,1
15,20240207,758,59,16,36,179,0,1,127985,1
16,20250808,667,350,17,1,268,0,1,376477,1
17,20250509,256,577,9,13,147,0,0,128093,1
18,20240716,1488,151,11,51,226,0,1,388625,0
19,20241015,637,27,2,21,242,0,1,425313,1
20,20240701,2144,358,2,43,148,0,0,181928,1
21,20240428,1747,156,20,30,221,0,1,480549,1
22,20241018,15,481,10,25,134,0,1,387047,1
23,20240827,1460,574,3,47,186,0,1,23930,0
24,20241201,571,287,15,5,119,0,0,198888,1
25,20241021,32,528,6,37,8,1,0,441868,1
26,20240803,1582,472,15,25,179,0,1,358171,1
27,20241122,507,439,20,6,183,0,1,51109,1
28,20240927,2267,27,7,49,208,0,0,313427,1
29,20240626,1476,479,8,27,172,0,1,490212,1
30,20251226,518,508,19,22,186,0,1,51863,1
31,20250303,2437,45,6,59,196,0,1,278716,1
32,20250312,1402,574,18,58,60,0,0,122974,0
33,20240830,420,309,1,54,157,0,1,362246,1
34,20241230,1305,504,10,37,66,0,0,126330,0
35,20251018,2391,457,11,13,77,0,0,61669,1
36,20241219,1048,528,2,39,127,0,0,467842,1
37,20240805,1053,23,12,22,165,0,0,301249,1
38,20241122,1149,434,19,11,88,0,1,470062,1
39,20241216,677,195,13,10,191,0,1,94748,1
40,20240105,405,246,11,29,259,0,0,178856,1
41,20240519,1496,59,16,12,189,0,1,414796,1
42,20240407,2251,397,15,36,116,0,0,436359,1
43,20250326,1868,476,14,43,117,0,0,96468,1
44,20250601,249,138,17,54,227,0,1,492671,1
45,20240523,978,75,5,31,94,0,0,285591,1
46,20250912,15,574,16,25,183,0,1,235366,0
47,20240109,739,137,11,7,206,0,0,324057,1
48,20241222,1721,210,5,28,169,0,1,66859,1
49,20240731,684,574,8,10,117,0,0,147116,0
50,20251113,2144,278,16,43,131,0,0,116741,1
51,20240911,1197,214,7,22,119,0,0,313395,1
52,20240413,1720,45,14,60,181,0,1,166426,1
53,20241207,2229,521,6,44,185,0,0,438364,1
54,20240104,1748,479,17,4,162,0,1,323302,1
55,20240114,2259,160,15,18,70,0,0,315700,1
56,20250207,2040,428,11,48,125,0,0,82257,1
57,20251222,1464,34,12,7,113,0,0,451339,1
58,20240515,702,126,20,39,110,0,1,425565,1
59,20250211,704,538,3,49,7,1,0,210309,1
60,20240714,2205,574,18,10,178,0,1,179506,0
61,20250627,144,503,1,31,173,0,0,206627,1
62,20241208,2349,476,3,25,234,0,0,145577,1
63,20250304,778,436,20,28,46,0,0,226034,1
64,20240522,1868,45,6,43,124,0,0,241117,0
65,20250808,780,385,15,42,129,0,1,28952,1
66,20240322,2376,439,9,56,128,0,0,140734,1
67,20240916,96,497,3,15,254,0,1,234990,1
68,20240131,853,467,5,41,92,0,0,70917,1
69,20250721,2192,212,19,5,106,0,1,253401,1
70,20241213,663,399,14,33,101,0,0,291544,1
71,20251220,668,535,8,25,203,0,1,250237,1
72,20251029,2264,340,6,57,179,0,1,447336,1
73,20241223,2110,273,10,52,193,0,1,335408,1
74,20250608,273,50,9,32,118,0,0,418248,1
75,20250612,1502,380,16,24,153,0,1,2968,1
76,20250310,565,465,8,4,96,0,0,479300,1
77,20251009,540,231,2,22,9,1,0,253516,1
78,20240309,1576,495,18,30,227,0,1,300518,1
79,20240715,319,593,16,41,249,0,0,238330,1
80,20250323,1173,101,13,45,28,1,0,265492,1
81,20240421,616,434,20,50,86,0,1,216611,1
82,20250402,2169,215,15,30,89,0,0,335422,1
83,20250731,1431,137,14,43,27,1,0,168284,1
84,20240224,540,387,19,22,162,0,0,59916,1
85,20241019,2318,254,9,4,27,1,0,116961,1
86,20250530,2092,434,13,28,92,0,1,183850,0
87,20251017,636,434,12,35,91,0,1,287503,0
88,20250111,2395,273,1,57,181,0,1,310150,1
89,20241002,645,11,1,51,206,0,1,395811,1
90,20251225,687,574,19,54,64,0,0,432738,0
91,20250705,934,574,15,52,154,0,0,290657,0
92,20240413,419,162,18,20,212,0,1,86465,1
93,20240828,1755,574,11,14,186,0,1,75316,1
94,20240324,1438,574,19,5,170,0,1,46420,1
95,20241222,2251,113,4,36,83,0,0,467565,1
96,20250504,588,325,7,9,253,0,1,88020,1
97,20251202,429,45,18,25,73,0,0,73354,1
98,20250321,866,297,1,14,17,1,0,295300,1
99,20250904,374,186,18,18,104,0,0,189065,1
100,20240716,2358,82,11,53,191,0,0,477272,1
101,20250223,1828,386,3,23,86,0,1,54153,1
102,20250218,2005,59,16,5,19,1,0,443772,0
103,20240421,1875,230,9,4,243,0,1,384478,1
104,20251219,592,574,18,14,187,0,1,261716,0
105,20250308,362,441,3,28,101,0,0,404746,1
106,20240505,1065,534,1,28,245,0,1,485724,1
107,20251026,2105,128,14,1,246,0,1,420682,1
108,20250323,781,390,11,52,71,0,0,484206,1
109,20241030,15,173,5,25,90,0,0,156405,1
110,20240321,1697,307,3,44,133,0,1,238306,1
111,20251114,492,428,15,41,81,0,0,198032,1
112,20250801,1394,251,20,49,85,0,0,439594,1
113,20250731,29,361,1,54,55,0,0,453464,0
114,20250111,1305,406,9,37,28,1,0,271699,1
115,20241228,959,59,20,8,16,1,0,22019,1
116,20240421,2222,23,6,18,149,0,0,232690,1
117,20250813,1840,50,15,1,190,0,0,389182,0
118,20240808,95,574,16,59,184,0,1,169534,0
119,20241017,1995,584,19,12,155,0,1,102715,1
120,20250810,1996,61,19,15,41,0,0,341248,1
121,20250218,1707,230,11,6,113,0,0,39680,1
122,20241107,2326,214,20,14,230,0,1,477300,0
123,20241129,2022,414,9,48,89,0,0,385505,1
124,20251126,548,188,11,15,254,0,1,326010,1
125,20250902,928,574,19,22,21,1,0,487791,0
126,20250102,841,82,5,32,77,0,0,319568,1
127,20241129,1294,323,11,37,16,1,0,358326,1
128,20250122,2376,113,5,8,150,0,0,442381,1
129,20240602,1576,264,20,36,160,0,0,30367,1
130,20240506,756,96,19,45,45,0,0,482969,1
131,20240120,2349,49,14,45,7,1,0,233655,1
132,20251008,1788,574,6,52,65,0,0,238832,0
133,20250114,639,403,8,48,294,0,1,58592,1
134,20250701,2270,439,13,16,97,0,0,71696,0
135,20250331,826,267,14,37,8,1,0,14460,1
136,20240327,1305,78,8,37,68,0,0,273322,1
137,20241219,1201,574,5,46,28,1,0,224873,0
138,20240501,2312,219,3,54,107,0,0,337206,1
139,20240513,637,481,12,21,6,1,0,399398,1
140,20250116,792,574,2,15,100,0,0,491373,0
141,20250614,1698,388,10,43,122,0,0,493045,1
142,20250722,2236,273,20,7,22,1,0,293265,1
143,20240129,299,151,12,26,228,0,1,107849,1
144,20250625,520,29,3,10,110,0,0,390180,1
145,20250120,2368,45,15,5,145,0,0,178245,1
146,20240225,1965,439,16,47,18,1,0,35034,1
147,20240906,831,574,2,10,186,0,1,62331,0
148,20250518,864,495,20,27,61,0,0,435263,1
149,20241017,1171,188,8,24,113,0,0,301568,1
150,20251210,1733,58,19,15,11,1,0,174649,1
151,20250216,1446,98,18,34,251,0,1,327686,1
152,20250316,1963,572,7,6,15,1,0,471897,1
153,20250119,144,148,19,54,6,1,0,18220,1
154,20250207,2083,373,9,54,56,0,0,110209,1
155,20250415,152,595,12,44,93,0,0,101972,1
